[I 250625 09:23:39 websocket_stream:11] WebSocket Connected!
[I 250625 09:24:10 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1231475, 'exchange_timestamp': 1750823650000, 'last_traded_price': 146650, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:10 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1231539, 'exchange_timestamp': 1750823650000, 'last_traded_price': 5646450, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:11 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1231758, 'exchange_timestamp': 1750823651000, 'last_traded_price': 5646510, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:11 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1231989, 'exchange_timestamp': 1750823651000, 'last_traded_price': 146640, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:11 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1232087, 'exchange_timestamp': 1750823651000, 'last_traded_price': 146640, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:11 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1232152, 'exchange_timestamp': 1750823651000, 'last_traded_price': 5646395, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:12 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1232371, 'exchange_timestamp': 1750823652000, 'last_traded_price': 5646210, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:12 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1232614, 'exchange_timestamp': 1750823652000, 'last_traded_price': 146640, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:12 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1232771, 'exchange_timestamp': 1750823652000, 'last_traded_price': 146640, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:12 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1232836, 'exchange_timestamp': 1750823652000, 'last_traded_price': 5646050, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:13 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1233058, 'exchange_timestamp': 1750823653000, 'last_traded_price': 5646230, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:13 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1233295, 'exchange_timestamp': 1750823653000, 'last_traded_price': 146630, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:13 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1233459, 'exchange_timestamp': 1750823653000, 'last_traded_price': 146630, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:13 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1233523, 'exchange_timestamp': 1750823653000, 'last_traded_price': 5646305, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:14 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1233738, 'exchange_timestamp': 1750823654000, 'last_traded_price': 5646365, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:14 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1233973, 'exchange_timestamp': 1750823654000, 'last_traded_price': 146630, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:14 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1234138, 'exchange_timestamp': 1750823654000, 'last_traded_price': 146630, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:14 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1234268, 'exchange_timestamp': 1750823654000, 'last_traded_price': 5646180, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:15 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 1234485, 'exchange_timestamp': 1750823655000, 'last_traded_price': 5646190, 'subscription_mode_val': 'LTP'}
[I 250625 09:24:15 websocket_stream:8] Market Data: {'subscription_mode': 1, 'exchange_type': 1, 'token': '2885', 'sequence_number': 1234722, 'exchange_timestamp': 1750823655000, 'last_traded_price': 146640, 'subscription_mode_val': 'LTP'}
